Attendance,StudyHours,InternalMarks,AssignmentMarks,PreviousMarks,FinalScore
71.47,3.33,77.24,84.69,84.7,68.02
81.77,6.1,77.51,81.59,88.48,76.32
52.71,5.35,68.76,67.6,73.4,64.91
74.9,4.1,48.02,48.94,52.24,41.02
80.09,4.62,79.81,73.33,80.53,73.52
54.53,7.27,67.03,83.55,65.54,62.12
60.04,4.09,91.07,79.93,75.98,63.1
61.99,5.06,65.61,61.71,57.61,60.84
60.2,7.49,44.19,64.33,67.65,55.44
76.74,1.81,60.16,71.92,60.52,55.36
68.04,7.14,53.87,71.6,56.35,61.07
78.32,4.25,68.86,90.2,91.69,76.44
76.06,3.33,53.68,77.76,40.37,51.23
52.56,3.5,63.9,52.72,98.59,72.75
64.26,2.67,69.04,70.91,77.4,62.9
85.37,5.37,72.16,37.2,61.66,64.54
67.85,1.6,94.14,89.92,64.1,69.44
83.22,4.06,82.55,58.15,68.83,72.76
84.63,4.21,51.59,70.2,64.55,62.69
87.78,6.88,65.83,61.18,68.24,71.37
77.34,5.03,72.93,83.58,56.21,63.6
76.13,6.99,75.52,60.04,62.49,72.2
80.83,4.79,77.4,95.24,87.91,81.54
94.15,3.08,34.08,75.24,77.74,61.27
89.7,5.91,60.06,64.79,80.3,81.01
96.32,3.34,88.32,75.24,49.76,68.02
83.63,3.44,76.12,49.69,26.91,45.99
91.12,7.91,76.76,92.72,70.35,74.49
92.76,5.83,60.48,67.27,72.65,58.83
62.62,2.25,53.33,57.44,84.23,55.92
65.19,3.9,68.37,45.41,100.0,63.48
86.19,5.37,51.15,66.61,68.14,65.13
100.0,6.43,67.05,61.27,83.87,74.78
76.73,6.5,73.5,88.26,68.47,70.58
82.56,5.8,67.55,68.4,58.83,58.0
86.66,4.36,57.74,52.95,57.46,54.84
94.48,2.23,39.46,80.02,69.76,60.74
73.34,5.7,76.42,51.99,81.57,72.48
74.68,4.02,77.01,75.64,75.94,74.3
86.49,3.91,53.86,66.94,65.49,62.89
67.11,3.97,88.7,46.76,42.47,62.75
47.79,4.91,73.38,66.43,97.71,67.67
82.83,2.84,88.99,76.62,61.62,63.15
76.83,4.81,100.0,100.0,57.97,68.74
88.2,3.0,78.28,100.0,69.1,72.18
70.52,6.18,80.53,91.2,62.67,65.89
65.98,4.68,62.64,66.11,59.66,59.88
79.18,7.7,76.62,55.36,74.12,78.74
79.4,7.12,56.28,100.0,52.15,65.92
74.54,4.33,66.55,47.56,73.58,65.4
78.87,2.13,83.32,72.26,90.88,74.23
97.81,6.15,47.61,71.52,85.8,75.83
99.87,3.87,69.8,61.12,74.83,71.62
80.67,7.4,78.27,57.2,62.23,68.68
50.83,4.14,90.1,82.99,58.53,62.09
67.56,3.29,64.59,61.96,89.8,67.55
92.83,5.59,71.04,95.93,67.8,72.0
91.01,4.7,60.3,100.0,95.78,80.15
97.81,3.63,75.98,62.82,71.14,64.4
78.01,9.91,67.71,69.0,62.61,73.88
70.98,3.71,81.95,74.28,77.37,70.5
68.67,3.66,56.93,74.09,52.46,43.34
84.12,3.23,68.35,81.11,64.47,66.31
70.31,3.71,39.06,59.55,82.82,59.02
93.88,5.92,59.4,73.52,87.89,74.52
72.74,4.53,49.5,79.42,83.33,57.13
75.72,4.54,42.08,48.73,64.86,61.24
70.84,5.52,61.07,69.51,79.4,68.17
84.78,7.54,69.42,79.73,85.11,78.33
75.19,2.69,73.78,81.66,84.23,75.28
72.17,3.48,53.69,92.35,98.77,76.84
80.09,6.05,53.53,61.53,35.71,52.15
75.82,2.41,70.72,66.5,45.65,57.66
67.44,4.69,96.23,65.54,77.86,66.25
39.17,5.68,55.74,76.06,69.65,62.23
88.84,4.51,52.56,94.71,86.85,71.55
67.68,2.58,66.01,74.85,81.49,68.25
100.0,8.41,90.4,43.07,62.11,78.78
43.04,3.54,73.79,75.13,49.06,52.92
77.38,3.36,64.2,85.72,62.93,69.88
82.01,4.39,83.3,80.47,85.5,79.96
98.29,3.92,65.65,38.59,85.13,67.95
100.0,4.58,94.77,84.68,53.07,74.03
63.34,5.83,57.23,71.71,38.66,48.4
49.51,3.4,77.28,37.97,72.31,60.24
69.19,4.75,42.52,68.93,71.28,63.29
79.91,4.26,49.54,65.43,64.29,61.94
86.76,4.51,97.57,69.23,59.93,62.62
93.13,6.58,44.7,58.05,82.82,69.77
87.26,5.47,53.88,75.3,64.99,60.85
85.24,2.69,62.09,76.01,51.67,53.93
63.05,3.64,65.65,55.94,41.56,45.75
49.49,5.52,86.44,80.07,71.9,60.44
89.49,4.35,80.47,83.61,88.01,82.23
87.31,8.32,83.81,57.02,89.74,81.86
72.7,5.33,82.47,88.49,58.1,68.44
59.6,6.54,51.97,94.54,69.84,58.77
82.59,7.49,94.59,74.58,59.85,69.25
83.07,2.4,88.83,92.37,63.87,77.58
72.67,6.61,87.37,77.04,68.1,67.39
99.0,4.78,66.51,55.24,72.55,65.7
76.41,2.84,71.93,60.19,90.81,69.74
74.38,5.36,68.59,77.76,63.89,59.5
80.2,4.24,61.45,76.55,68.69,61.39
79.55,4.94,54.5,82.45,55.58,59.92
80.22,4.54,62.09,77.82,59.67,54.88
66.33,6.42,86.71,81.97,57.94,68.78
73.27,4.99,86.68,61.93,29.36,48.17
79.34,7.12,37.83,58.3,49.95,44.57
82.27,7.6,76.52,71.73,73.7,77.24
73.3,4.25,69.58,95.0,78.97,66.19
59.81,2.1,58.2,69.93,54.71,51.53
100.0,7.08,83.68,71.7,51.88,66.3
66.51,6.88,55.69,58.45,47.27,54.28
88.72,7.31,60.36,67.17,80.36,70.03
79.28,2.91,56.08,75.03,99.61,79.89
86.29,2.12,71.93,71.45,55.38,59.67
47.42,5.51,52.21,73.48,68.29,53.64
74.94,6.91,66.63,70.25,68.65,63.9
82.25,3.61,79.58,62.85,59.11,61.49
82.39,6.14,70.2,82.06,81.22,61.98
69.08,5.19,55.68,88.55,87.22,69.96
66.88,3.26,55.02,80.24,95.31,66.19
58.9,6.15,61.22,51.57,69.78,66.51
91.25,7.28,47.25,74.91,80.28,68.78
87.17,6.62,50.56,95.74,68.53,68.02
83.55,8.33,73.46,68.02,83.57,85.7
58.91,1.81,29.53,91.92,49.44,45.9
70.53,1.33,67.27,73.78,92.07,71.83
100.0,8.93,69.15,75.92,62.0,71.41
76.52,4.07,37.21,87.15,80.5,62.76
60.38,6.76,88.62,74.48,88.16,79.55
92.16,7.69,61.58,59.53,68.48,68.31
77.68,3.31,68.53,69.88,82.26,71.73
80.7,4.52,50.51,68.92,77.14,64.43
78.91,3.68,78.38,84.49,37.92,53.22
83.31,4.43,79.69,56.32,53.68,64.83
81.0,4.95,72.89,74.05,72.82,67.82
77.71,6.98,99.34,51.63,81.3,85.45
69.3,5.42,92.7,30.0,55.82,56.38
69.91,8.16,67.0,86.27,72.29,75.71
91.26,3.55,75.16,43.07,89.64,83.94
52.75,2.31,50.72,81.86,73.21,62.46
59.52,2.82,59.06,60.92,66.39,61.67
79.48,6.52,91.49,89.19,87.65,81.66
73.88,3.33,55.65,52.93,64.62,57.88
99.02,6.08,64.58,81.01,75.1,73.0
71.22,6.09,94.58,86.67,68.94,75.16
95.86,4.52,78.74,69.67,74.69,73.04
100.0,7.96,61.5,73.92,74.69,74.87
72.59,7.39,69.14,74.92,63.5,71.84
84.26,5.29,72.09,65.83,25.71,56.13
95.52,4.07,76.61,94.55,77.14,72.05
74.0,5.82,83.66,50.98,75.08,69.92
90.41,5.28,94.38,75.18,54.2,70.89
76.44,5.03,100.0,84.19,57.36,73.9
73.82,5.2,97.76,89.68,73.09,79.54
88.64,4.04,62.27,77.33,90.38,77.78
75.0,4.0,67.5,79.62,76.13,65.74
92.1,4.19,88.81,57.16,65.02,66.03
87.13,6.64,74.72,74.6,63.99,64.59
77.23,4.23,41.72,76.3,90.69,73.41
100.0,5.31,63.44,73.53,65.44,73.21
74.95,5.6,80.63,73.41,100.0,80.31
64.75,9.05,100.0,83.17,53.34,70.56
68.1,2.01,78.51,79.91,74.25,64.77
98.92,2.94,76.31,70.9,74.92,70.95
63.58,3.63,37.97,84.84,45.67,45.74
64.25,3.52,70.77,97.37,60.08,62.45
77.3,3.7,100.0,57.36,30.91,53.88
69.23,4.46,75.37,91.47,70.7,69.57
76.52,4.8,96.74,82.94,55.28,66.56
77.41,10.32,94.26,100.0,63.44,74.35
79.4,5.81,60.05,100.0,100.0,76.83
76.8,2.42,70.08,100.0,83.57,67.19
87.66,3.9,69.45,50.22,48.87,53.32
85.25,3.71,75.1,64.84,80.34,77.03
85.65,4.27,68.49,72.9,74.2,60.91
67.22,9.14,71.8,83.0,82.52,75.92
75.59,3.04,81.73,67.14,46.01,57.72
70.86,7.07,51.51,85.42,71.58,69.07
65.41,8.47,66.51,77.74,59.56,66.04
74.61,9.76,75.04,87.37,56.05,68.46
81.37,4.22,90.22,54.84,80.28,80.74
74.99,6.55,82.07,100.0,53.78,69.05
73.14,5.96,62.18,81.11,96.22,78.82
58.66,3.82,48.17,67.75,73.29,62.5
87.77,2.32,49.95,83.79,66.71,67.9
69.65,3.08,63.05,71.4,32.69,44.39
75.92,5.21,68.61,78.57,53.01,64.58
67.8,2.12,62.44,66.69,69.84,58.64
100.0,7.03,60.78,65.12,98.59,73.69
74.99,6.22,76.45,84.72,73.31,69.03
81.43,4.15,49.8,93.3,68.77,75.56
76.88,3.71,58.9,67.02,65.2,54.66
82.18,8.17,85.16,88.72,87.28,74.84
73.25,6.57,78.77,86.72,61.24,68.72
69.45,8.23,69.6,67.82,72.84,67.26
60.53,3.27,32.73,86.63,48.98,44.18
76.43,3.36,54.21,71.19,54.79,55.55
94.22,4.4,56.24,79.55,62.06,58.87
76.42,1.94,83.81,99.84,32.15,51.01
74.91,4.28,91.45,48.56,86.33,81.4
89.68,2.63,72.58,62.66,51.29,65.72
81.22,3.22,30.4,65.11,49.09,47.37
62.53,3.51,75.47,85.17,78.1,65.33
76.48,1.47,69.01,64.86,74.26,67.94
72.54,1.36,76.81,61.38,65.0,65.5
90.62,6.94,66.26,45.21,52.46,67.65
71.7,7.31,46.63,62.61,85.12,75.52
96.46,3.95,65.86,69.0,76.94,70.22
91.81,5.31,96.49,59.58,82.02,82.56
71.23,6.45,57.9,100.0,66.32,59.34
100.0,5.15,72.71,65.73,69.35,70.19
68.2,6.49,40.4,68.55,79.24,68.83
84.33,8.19,66.12,30.0,52.85,59.24
100.0,4.29,56.49,100.0,76.02,62.03
82.47,2.15,56.22,63.13,74.29,64.42
95.31,6.33,69.04,70.32,71.24,80.87
64.03,4.7,94.95,86.96,53.35,61.56
96.33,4.44,100.0,87.97,74.99,77.75
77.19,6.92,51.77,78.53,50.38,62.05
78.84,2.89,41.42,70.81,85.2,62.01
60.83,5.77,76.33,60.58,86.39,68.69
76.53,9.27,65.27,78.34,97.35,76.41
98.51,4.12,100.0,70.35,82.65,79.63
82.9,0.6,48.14,70.45,92.92,69.63
60.96,3.35,62.41,35.6,61.4,62.1
60.15,4.99,54.43,49.84,52.08,54.07
80.04,3.28,75.46,80.73,78.85,61.75
64.6,2.85,55.72,55.07,50.05,49.09
66.3,0.5,75.59,50.21,74.56,61.11
100.0,3.66,54.9,58.44,64.67,60.18
88.34,7.43,70.81,70.82,85.44,74.05
88.86,4.06,69.89,84.81,60.8,68.53
78.69,3.01,92.02,69.18,51.92,58.93
71.43,0.94,61.6,71.81,64.79,49.93
72.62,0.5,48.97,67.24,69.6,56.37
84.17,0.5,49.97,75.63,54.77,44.99
64.17,6.87,31.41,77.82,86.94,63.4
92.28,5.05,65.94,64.47,91.23,75.17
51.62,4.34,57.3,81.37,60.87,61.16
69.49,5.52,94.92,68.64,42.37,61.95
63.28,4.41,66.6,58.89,69.48,61.08
87.84,3.58,82.54,83.66,100.0,77.22
64.7,3.84,62.62,85.57,55.76,63.2
85.24,3.59,78.74,86.17,67.97,62.5
61.12,3.58,43.33,78.74,47.3,49.45
74.99,1.84,59.69,48.03,73.61,62.92
90.37,4.69,50.84,50.61,42.3,52.74
70.13,5.38,57.94,88.35,70.13,64.57
85.62,7.77,54.77,69.67,87.84,81.8
67.84,4.41,71.08,58.08,64.31,62.36
69.45,2.35,79.83,74.99,61.54,59.62
75.53,5.04,77.09,65.81,44.15,60.63
80.98,6.81,55.84,73.39,65.89,64.18
62.12,3.3,63.78,63.23,63.17,58.02
40.71,4.6,83.07,85.23,64.15,62.97
82.26,6.14,69.33,56.55,84.86,71.01
77.97,6.7,66.55,82.9,70.27,60.32
79.26,6.23,72.37,76.04,76.21,71.05
73.46,2.07,70.89,57.98,61.97,57.41
79.89,5.74,72.54,45.58,67.68,72.98
49.51,1.47,67.32,88.85,56.5,60.53
86.26,0.5,100.0,51.66,53.41,63.94
70.78,8.93,64.89,56.68,63.78,69.67
78.08,7.17,65.26,83.88,76.32,75.12
67.5,6.95,70.88,57.75,69.39,65.64
65.36,3.48,33.42,53.93,74.78,57.88
66.27,4.03,76.21,73.63,81.84,64.99
95.57,4.46,98.53,72.93,66.36,72.99
94.44,4.04,52.66,65.47,64.29,63.2
98.78,5.45,65.93,58.72,53.69,63.97
89.02,5.91,27.85,49.45,62.07,50.34
51.92,4.08,80.0,81.3,78.99,71.49
82.35,6.71,55.86,71.39,45.88,64.44
84.05,5.22,77.62,65.67,87.26,77.37
88.83,3.64,65.59,46.28,83.24,69.6
77.52,7.18,61.0,46.89,75.22,74.64
99.02,2.07,77.1,83.11,83.07,69.79
99.17,5.44,45.85,72.89,75.25,70.05
73.6,5.96,80.0,72.39,74.25,72.2
99.0,5.31,70.54,77.23,75.15,74.54
79.66,1.96,95.86,90.8,84.87,77.42
71.01,4.25,83.23,92.61,77.13,73.21
87.74,7.25,77.67,63.51,82.67,76.36
61.51,3.67,55.0,52.61,69.54,55.11
68.53,4.35,97.66,43.93,58.96,57.2
84.88,5.05,55.19,55.56,71.27,62.18
75.11,8.43,83.18,92.14,77.31,74.93
89.31,4.51,71.28,73.37,92.46,73.73
57.14,6.19,66.74,57.99,91.67,71.8
97.64,0.71,74.84,55.74,88.35,73.32
100.0,2.57,25.0,64.56,70.44,53.94
69.68,6.03,66.07,43.98,81.23,68.19
69.39,4.26,58.34,86.87,71.18,61.66
86.95,1.9,59.51,50.65,85.27,69.03
100.0,6.41,71.29,90.76,55.61,68.03
83.38,2.23,60.29,61.91,75.31,59.86
67.73,4.79,77.63,58.5,66.35,62.08
82.15,1.87,54.19,63.26,80.59,57.97
91.82,5.55,80.23,90.32,99.82,96.75
99.51,4.59,65.09,83.03,71.99,72.17
87.19,3.4,63.98,67.46,63.24,63.02
67.43,2.44,75.2,71.95,59.84,56.02
94.91,5.66,75.07,68.01,51.6,69.71
71.85,4.36,76.47,64.66,44.07,59.93
72.78,5.74,81.45,83.84,65.68,66.73
79.3,5.42,40.17,84.56,75.2,63.94
99.96,2.46,79.93,41.48,73.67,80.61
73.32,2.88,71.19,79.13,69.34,65.36
89.29,6.17,58.63,53.54,71.92,69.23
89.57,4.41,60.9,69.67,85.01,70.22
96.94,3.87,43.39,78.84,37.12,48.9
70.56,7.25,96.43,54.11,66.24,67.55
76.77,6.19,89.18,77.37,64.06,72.74
68.89,3.97,68.33,65.45,63.17,67.28
48.86,3.82,54.83,83.73,100.0,63.46
48.92,6.95,68.26,77.09,74.81,67.54
100.0,5.39,56.78,46.5,82.61,66.94
73.22,4.28,77.53,78.41,100.0,83.05
75.32,1.01,47.66,54.47,86.45,62.35
79.09,5.12,85.03,64.04,59.65,66.62
86.73,5.43,53.73,48.98,83.6,71.7
90.21,7.71,77.4,55.58,82.51,80.37
85.98,4.18,80.28,58.65,81.46,74.16
70.16,5.11,55.06,62.77,93.45,75.82
66.46,4.98,53.69,56.77,65.22,62.3
67.4,4.58,86.04,72.08,63.05,66.58
65.38,4.94,56.64,65.34,64.01,63.5
63.77,1.32,82.47,75.78,90.93,70.97
73.0,4.98,70.77,58.32,75.39,62.04
74.95,2.42,100.0,88.58,62.44,64.04
92.86,6.02,89.28,92.58,68.91,71.54
70.7,2.94,74.26,75.6,77.19,68.1
75.18,2.77,85.65,58.66,70.32,63.92
67.97,2.9,78.97,67.85,93.99,72.6
87.29,4.41,72.38,66.92,79.16,72.97
72.13,4.19,89.13,75.83,95.86,82.07
74.59,5.42,52.11,100.0,69.58,62.53
78.36,6.93,73.7,76.76,68.52,76.15
67.42,4.36,68.76,44.42,51.16,53.71
84.16,6.54,84.48,70.95,94.19,86.41
60.55,5.83,61.52,64.41,78.98,65.33
69.44,6.82,69.5,51.8,56.82,57.95
71.23,4.19,70.88,76.74,72.38,70.23
71.67,0.5,48.58,90.82,87.68,62.16
87.11,6.06,65.13,75.31,66.83,61.46
74.67,2.48,82.43,89.0,87.35,72.34
94.53,6.05,54.7,66.39,84.51,75.61
75.73,2.88,68.98,79.85,57.65,55.4
73.33,6.78,52.95,68.76,94.72,70.9
69.91,4.7,66.21,78.13,71.91,72.8
100.0,7.03,44.22,60.17,25.25,55.39
69.08,2.3,66.64,74.67,44.31,56.35
97.34,5.77,62.28,67.33,88.65,77.53
97.53,3.54,84.9,69.86,73.33,75.83
59.26,1.81,73.02,55.12,72.94,66.8
89.78,4.92,50.17,72.5,60.88,52.91
78.26,3.39,52.45,31.56,68.97,59.74
70.74,3.77,63.98,100.0,72.99,66.71
71.13,3.59,59.92,68.17,89.68,67.75
77.37,4.03,54.25,77.96,96.65,63.13
82.95,7.3,84.14,71.38,52.31,51.72
92.15,3.86,82.5,95.85,46.42,60.66
68.36,4.15,56.96,53.48,87.31,71.5
97.95,4.98,97.5,84.68,81.82,81.85
83.19,4.14,44.64,71.16,56.94,55.83
84.1,4.44,78.28,51.68,89.35,76.65
82.95,2.56,38.59,51.51,97.46,63.28
82.21,7.25,73.9,56.15,78.69,71.01
70.07,2.76,59.24,90.71,28.71,43.44
67.71,0.62,59.62,71.21,61.85,55.72
95.08,3.63,55.46,54.62,71.32,58.77
69.61,0.5,68.08,85.55,73.88,67.9
83.76,4.81,81.99,84.86,72.56,75.75
70.39,8.41,53.69,71.56,56.86,56.55
80.21,3.24,89.18,66.72,85.42,73.45
50.56,1.86,62.44,59.43,75.62,62.57
68.4,3.7,72.71,61.88,91.68,72.68
69.05,8.41,67.11,78.28,58.33,64.96
100.0,8.54,74.72,89.88,93.07,83.54
71.34,7.08,47.32,72.11,81.66,71.53
76.88,5.48,64.67,89.06,62.75,70.67
64.62,7.16,77.19,72.04,82.67,69.73
83.16,7.32,60.7,80.08,58.24,64.51
94.38,6.59,64.3,79.3,78.49,74.11
82.51,5.6,49.67,43.49,74.96,64.07
100.0,2.33,68.54,77.79,92.55,79.94
78.94,5.81,25.0,53.51,50.85,44.43
86.02,8.57,81.68,67.66,63.25,80.39
80.26,4.98,58.93,73.78,74.94,65.29
68.74,8.04,65.55,66.99,95.51,79.03
75.81,2.68,83.44,66.67,70.17,71.08
53.99,6.78,42.35,61.86,59.43,57.02
84.89,4.42,66.58,78.92,57.23,57.76
62.27,4.84,68.9,89.26,59.56,68.42
70.34,6.97,76.4,59.79,80.09,64.69
61.91,3.02,99.97,81.74,68.62,70.38
79.79,4.76,55.21,80.63,64.67,63.8
85.1,0.5,77.44,82.15,56.5,64.38
75.68,7.94,52.72,49.94,56.92,65.43
88.0,2.83,53.1,100.0,70.55,61.76
68.79,4.04,44.63,61.86,100.0,71.73
80.47,4.15,73.57,97.18,81.31,77.31
78.34,2.12,49.47,56.46,51.89,52.12
81.28,4.81,70.35,75.67,47.66,59.36
83.7,4.7,61.58,55.59,51.91,55.74
78.69,0.5,81.34,41.95,84.18,62.76
70.21,6.6,38.86,71.74,71.76,62.63
74.79,3.23,67.92,82.41,87.57,66.48
59.01,5.22,78.73,73.13,84.79,66.9
82.7,0.87,74.55,69.23,86.49,65.24
82.54,3.18,49.04,75.94,69.48,66.67
95.53,4.41,81.14,71.64,41.99,59.58
59.38,9.37,70.97,50.87,58.32,68.73
58.5,7.92,59.78,87.93,73.0,65.51
76.04,7.33,69.42,60.94,45.06,52.32
85.88,4.29,98.53,72.57,53.5,61.28
57.47,3.53,81.49,70.71,38.73,57.1
82.94,5.9,66.34,77.27,38.44,61.35
51.67,3.41,56.23,54.19,99.69,70.88
95.43,10.55,43.11,78.44,66.96,74.12
64.43,4.53,67.67,96.41,70.59,61.35
62.19,5.41,100.0,74.53,65.09,64.71
94.85,4.93,63.31,88.47,57.62,71.58
88.78,1.98,51.55,87.19,93.22,73.31
86.29,5.94,57.98,54.03,77.0,66.29
70.48,4.75,74.37,88.18,25.0,56.22
72.76,4.29,75.71,46.67,55.06,59.05
80.46,4.66,60.06,84.53,58.84,58.58
73.19,5.21,73.05,72.81,57.16,62.65
89.71,7.17,64.19,77.75,75.15,69.05
50.05,7.49,50.69,68.22,60.89,60.84
78.9,3.88,68.09,79.0,63.27,69.02
90.33,4.2,74.71,80.65,67.43,79.3
58.38,3.84,64.61,71.28,92.8,60.31
83.85,4.18,70.79,73.1,69.63,62.61
54.53,1.29,62.81,88.73,74.7,58.37
58.01,5.33,48.98,79.99,88.66,56.26
69.67,5.38,76.63,71.2,55.21,59.45
67.43,0.5,88.11,84.33,64.06,58.92
100.0,5.74,75.78,64.14,84.73,81.55
63.64,2.68,61.68,100.0,54.17,54.13
82.53,5.75,75.42,67.01,77.67,73.77
72.11,0.5,44.35,72.17,68.62,55.24
82.31,8.48,63.58,100.0,49.04,63.76
95.11,4.56,69.73,71.23,82.03,75.57
74.58,5.85,98.12,83.79,81.99,72.48
77.84,3.92,65.56,54.25,57.16,58.19
94.65,6.44,52.02,58.43,67.75,66.26
84.6,5.21,70.92,94.39,51.84,59.09
87.21,5.52,60.39,53.03,72.5,73.09
72.99,2.71,49.13,51.24,71.41,59.2
93.15,7.74,63.52,65.85,55.97,67.19
100.0,4.63,78.02,84.82,70.87,74.0
81.46,4.91,82.99,94.31,67.03,70.49
92.48,6.11,48.0,57.15,61.93,59.05
88.09,2.95,74.89,93.58,69.1,66.38
71.44,4.8,77.48,56.6,40.24,52.28
79.68,5.46,66.44,67.84,92.76,80.06
76.27,4.19,75.41,53.24,86.28,71.62
72.22,7.51,94.77,46.03,70.27,65.0
86.4,5.05,59.99,67.84,63.21,59.64
85.3,8.14,67.35,64.08,67.15,80.8
81.18,1.62,75.55,62.22,71.61,66.46
87.02,4.3,56.02,82.42,56.6,61.06
70.17,6.16,64.88,76.9,35.04,56.34
71.28,2.83,77.77,61.26,94.2,74.49
90.23,5.35,65.66,71.66,45.06,63.27
76.98,4.54,31.43,42.39,87.75,59.2
74.26,5.81,51.93,80.95,92.65,63.27
82.34,5.23,32.49,71.1,45.37,41.51
86.09,5.19,52.59,42.49,74.69,59.98
75.86,0.5,78.58,57.84,43.71,45.88
73.94,2.97,100.0,78.46,63.08,77.95
88.27,8.04,48.52,93.43,40.77,51.33
80.62,6.31,37.31,86.79,44.31,43.28
69.58,4.1,62.44,73.75,80.04,70.38
100.0,7.25,77.14,74.86,79.71,74.35
66.21,4.39,100.0,83.19,33.73,55.7
72.48,6.69,73.16,74.75,49.62,56.59
78.93,1.14,64.83,67.59,51.91,64.04
78.55,5.79,80.03,70.93,82.13,66.94
51.23,5.88,78.74,62.17,88.82,71.32
84.09,6.47,100.0,83.34,50.44,72.79
86.71,4.12,49.3,55.92,81.11,57.6
73.2,2.62,76.17,76.39,92.22,72.29
70.16,6.48,80.99,57.46,54.95,61.83
58.21,7.29,68.8,67.78,84.04,71.49
78.81,4.19,87.58,63.93,81.64,71.47
86.54,2.67,85.26,70.55,73.86,64.33
100.0,4.04,55.94,95.7,80.88,73.69
91.77,0.5,37.46,72.08,63.64,52.64
63.43,6.12,68.74,38.84,64.65,54.9
68.58,4.85,88.65,50.27,73.44,65.82
51.2,0.5,90.6,60.41,68.71,61.82
78.51,5.99,73.46,85.28,62.02,70.18
92.0,6.83,74.48,69.31,56.79,72.94
47.54,1.76,42.04,84.8,45.9,43.36
92.36,5.82,58.17,100.0,84.33,76.98
86.36,6.14,89.0,71.55,92.74,86.7
76.77,5.21,75.08,50.84,25.0,50.25
69.25,3.36,59.44,99.89,100.0,80.0
100.0,5.74,85.71,91.09,86.13,81.62
81.35,6.97,65.65,66.88,92.29,76.94
99.89,1.49,67.04,91.66,33.82,53.43
63.01,3.88,100.0,84.9,74.22,69.69
74.84,5.61,84.17,96.42,83.16,73.05
59.92,5.12,51.28,55.94,73.72,60.27
100.0,3.01,49.6,61.71,46.33,51.9
92.14,4.0,48.49,52.82,72.45,64.61
74.56,3.93,100.0,57.74,70.21,67.51
79.46,6.16,59.31,77.32,86.32,71.38
75.32,5.84,38.94,78.38,70.04,59.19
71.6,4.89,67.88,100.0,92.64,70.62
76.35,6.29,76.9,100.0,56.42,72.41
100.0,7.53,79.63,90.67,48.99,63.79
91.34,6.62,46.61,80.96,100.0,76.37
82.84,5.25,91.99,82.81,61.09,68.06
76.48,4.21,52.63,52.91,77.68,65.7
67.13,4.76,61.96,91.92,54.28,60.46
82.39,5.55,87.95,56.91,71.6,72.42
