Attendance,StudyHours,InternalMarks,AssignmentMarks,PreviousMarks,FinalScore
77.43,3.08,59.93,66.85,66.44,62.67
81.7,4.8,67.12,83.73,84.35,74.91
96.73,5.54,63.82,73.06,67.79,77.79
100.0,3.31,68.44,75.76,95.1,78.87
64.47,5.27,77.18,71.42,59.91,63.78
51.7,4.35,60.21,58.81,78.7,60.73
69.87,4.24,69.63,43.59,46.12,56.3
79.77,6.14,66.25,40.5,52.69,62.88
86.08,1.94,67.98,88.83,97.72,77.77
91.97,3.11,82.43,96.92,48.16,64.92
86.55,3.82,74.69,69.77,56.76,68.61
84.68,5.59,55.2,82.53,64.46,69.9
64.2,2.85,61.87,82.82,67.8,60.31
51.69,6.14,75.07,56.98,87.29,76.29
88.61,6.1,66.82,64.12,81.69,76.48
86.6,5.7,94.62,72.77,84.82,83.75
73.11,2.07,73.72,70.95,83.57,71.7
61.01,4.84,82.18,77.14,54.97,69.67
82.23,4.45,88.85,74.84,94.92,77.02
82.68,7.38,53.17,62.36,89.52,71.05
73.08,3.63,82.7,50.26,88.16,73.69
97.39,3.31,69.83,66.21,68.6,66.58
76.53,4.51,56.26,48.16,73.68,63.96
74.66,7.34,73.95,81.86,70.55,75.32
80.03,3.36,66.1,70.19,63.86,60.04
79.43,0.86,71.0,70.0,57.34,60.42
80.05,5.52,68.21,70.94,64.46,68.6
67.23,4.07,81.37,83.48,87.54,78.25
73.64,5.61,71.36,70.73,87.51,78.35
79.24,0.67,86.23,89.0,41.71,61.32
81.94,4.48,89.6,74.18,77.98,71.53
73.66,3.69,66.13,67.1,71.48,65.73
61.21,3.3,51.09,70.39,60.81,54.02
100.0,2.26,85.95,66.04,84.7,79.81
67.39,7.01,84.56,74.78,58.46,72.69
87.9,5.49,87.56,80.94,62.84,77.11
79.18,7.99,56.79,64.65,58.83,67.19
85.66,5.67,51.24,65.67,73.68,66.37
49.78,5.72,74.95,87.85,55.2,63.24
75.17,5.38,84.79,78.43,68.72,76.97
81.92,3.19,61.7,49.36,80.86,58.16
82.05,6.38,79.41,62.21,72.06,77.2
69.77,1.59,72.74,62.9,58.45,58.54
67.73,8.01,59.19,59.35,57.83,61.56
60.37,6.18,79.43,68.0,63.64,65.68
90.23,5.64,87.35,100.0,50.54,75.53
86.46,4.06,82.72,54.37,53.65,66.46
83.13,5.33,94.73,77.78,75.12,75.21
60.37,5.87,49.06,57.68,33.94,53.36
71.1,3.27,45.72,91.48,69.31,62.92
100.0,6.0,98.9,80.91,71.08,86.3
76.64,5.5,64.86,60.19,41.14,62.06
61.74,5.6,83.69,80.81,89.33,76.54
91.07,6.59,90.24,98.3,63.99,77.41
77.71,6.85,59.6,67.65,70.5,71.13
80.49,5.18,68.01,84.99,53.61,67.58
78.84,3.83,62.17,69.62,79.73,70.61
82.9,6.4,67.42,79.86,80.96,77.32
80.77,5.04,71.08,51.6,74.58,70.67
77.74,5.47,85.25,84.39,99.38,85.34
69.97,4.08,74.32,66.12,93.16,76.69
70.53,6.25,93.55,79.32,69.07,75.42
90.24,2.4,61.22,54.9,76.71,69.97
54.69,2.74,52.55,44.85,53.8,46.07
60.95,7.22,56.16,100.0,61.62,67.3
79.37,6.25,82.01,88.48,92.02,85.61
74.2,3.49,59.72,88.77,58.42,63.84
97.41,3.23,78.93,77.55,66.79,72.32
71.74,5.99,79.0,86.44,94.91,78.77
94.49,6.12,68.06,62.01,80.07,74.73
100.0,6.97,92.09,68.44,63.91,80.47
73.01,6.06,88.14,85.56,71.07,76.59
83.78,2.74,73.45,72.08,73.83,72.34
94.18,6.08,64.86,86.52,78.07,75.6
74.31,1.76,77.14,84.2,84.68,77.0
89.45,2.72,73.37,81.0,94.73,79.28
76.56,2.06,71.6,71.78,100.0,73.55
74.14,6.71,72.81,89.38,97.9,82.39
87.82,6.27,64.67,75.64,64.63,66.42
75.23,5.15,64.41,61.1,69.53,61.52
91.01,4.88,65.73,64.19,89.51,70.58
86.43,4.72,82.88,67.61,76.3,74.8
77.29,4.36,66.03,65.51,45.36,58.15
100.0,4.88,73.58,83.83,65.73,71.3
75.18,3.19,75.62,56.34,81.84,73.05
65.77,5.66,99.75,71.1,100.0,91.83
68.87,4.71,50.47,68.5,79.86,65.33
97.31,3.78,57.0,67.84,77.79,71.7
64.69,2.8,61.81,95.91,41.84,58.37
65.31,3.61,61.02,94.21,72.6,63.22
77.35,2.61,62.28,61.76,100.0,69.65
69.9,2.77,67.64,79.99,76.91,64.16
76.63,4.19,70.01,68.72,96.94,78.37
77.45,5.84,100.0,68.71,94.62,85.05
79.29,7.14,77.07,60.79,62.55,70.98
76.89,4.24,53.36,68.26,71.95,65.67
86.92,7.81,63.72,81.74,71.36,70.98
84.69,2.39,62.36,65.61,76.65,64.15
85.06,5.15,66.29,62.23,70.46,73.59
68.05,3.01,100.0,68.46,73.56,75.42
75.78,5.65,57.71,85.16,82.87,69.32
71.41,7.48,85.92,54.88,54.54,63.05
66.38,2.25,95.72,61.75,68.6,70.15
74.87,6.09,100.0,92.76,76.6,82.43
81.11,4.64,65.95,87.65,90.83,72.7
75.22,4.59,82.26,62.45,83.2,76.74
73.52,6.24,78.14,65.96,64.55,70.93
60.15,4.05,63.15,69.83,51.41,52.72
87.02,2.32,52.63,94.36,53.08,59.87
70.29,4.76,57.98,56.79,65.36,64.22
76.08,5.76,72.84,84.92,70.57,71.17
68.59,7.86,51.21,81.31,64.79,63.68
100.0,3.11,85.58,85.6,63.23,71.43
75.22,3.27,79.96,67.3,77.92,71.76
81.17,3.72,65.44,51.9,52.94,59.87
76.97,1.48,62.38,74.96,61.47,63.24
81.86,3.48,93.59,79.53,86.09,80.78
73.62,2.81,82.41,64.7,80.1,71.83
70.11,3.58,94.03,91.64,71.5,72.61
61.87,5.42,59.29,75.21,36.93,50.38
76.55,5.26,59.91,61.12,57.08,63.34
92.98,6.08,67.22,76.36,58.98,66.92
76.54,5.45,49.96,92.85,84.82,71.97
75.15,3.0,66.39,70.94,91.98,68.51
88.78,3.47,54.8,69.58,74.29,68.84
80.97,7.25,58.94,72.4,34.75,56.61
63.72,2.06,60.99,74.75,77.0,62.86
76.6,3.66,46.72,89.33,70.95,61.16
72.96,6.97,45.89,55.32,78.26,74.03
89.65,10.0,84.95,58.41,68.37,79.1
72.18,1.55,87.59,65.71,49.97,63.77
95.04,4.29,64.03,68.27,67.99,69.8
90.74,7.19,73.56,50.98,96.71,83.61
71.75,3.77,81.52,80.21,60.53,65.13
100.0,7.61,72.45,77.71,74.42,78.22
68.95,2.63,81.85,59.12,44.13,56.38
83.84,3.9,93.74,93.46,68.23,84.75
99.72,5.6,66.4,73.84,59.21,72.62
82.13,5.2,51.47,62.13,58.96,60.51
93.98,1.36,80.71,52.7,70.98,69.24
65.11,2.43,69.29,87.63,95.26,74.1
94.92,5.03,67.51,54.37,100.0,79.24
77.25,7.5,84.81,63.19,54.78,74.41
78.78,3.97,56.62,78.31,45.08,54.73
62.15,3.12,76.76,72.72,77.81,65.42
76.64,5.7,100.0,94.05,67.44,78.92
96.93,3.79,65.23,82.19,100.0,83.64
82.52,2.81,40.6,43.51,51.38,49.87
62.27,3.59,59.85,74.4,64.76,56.84
61.52,5.0,71.32,86.57,57.28,61.72
79.88,6.58,59.34,78.54,76.99,72.17
65.63,0.54,56.34,67.1,58.49,53.42
67.2,5.8,37.88,82.74,77.12,61.1
100.0,2.6,62.05,63.54,57.72,63.88
87.55,7.76,88.41,90.22,72.64,80.4
88.03,8.81,64.83,75.03,71.77,77.57
78.63,6.29,57.47,72.0,92.52,72.6
71.94,0.57,42.98,47.31,64.0,54.28
73.03,1.88,39.08,60.16,52.16,50.89
83.69,4.32,37.31,59.01,53.1,59.15
65.23,2.88,84.52,90.7,35.7,55.52
91.18,5.14,71.74,77.86,68.07,67.11
53.65,5.29,66.81,65.67,59.97,64.37
70.15,3.05,75.04,72.17,95.24,78.5
64.41,3.96,67.3,78.45,68.69,63.79
87.08,3.2,61.48,88.85,83.63,75.26
65.73,4.32,63.28,67.93,64.95,59.45
84.68,2.86,61.56,68.95,80.07,71.16
62.42,3.59,61.44,95.8,46.87,54.71
75.22,4.77,49.25,66.27,62.21,58.12
89.42,6.62,69.25,64.84,53.91,66.38
70.73,6.3,74.09,64.37,60.57,67.88
85.04,6.8,90.76,70.03,57.59,72.05
68.63,6.67,67.24,76.04,72.89,69.33
70.11,5.19,52.88,82.49,81.09,66.89
75.72,4.71,71.69,76.4,78.52,72.56
80.75,7.15,84.06,81.33,58.6,77.99
63.34,8.98,59.48,74.15,66.04,66.8
43.58,5.96,68.63,57.48,84.13,65.36
81.93,2.95,79.38,81.81,71.25,74.37
77.98,5.16,83.3,66.0,68.64,73.87
79.16,5.34,80.0,71.8,74.1,71.02
73.81,3.15,50.92,57.02,72.71,57.98
79.74,6.82,76.61,70.86,74.26,72.2
51.7,4.6,46.67,80.88,69.37,54.43
85.62,3.2,37.67,58.59,100.0,61.98
71.33,8.3,98.9,67.13,67.08,80.09
78.07,4.24,86.6,67.77,67.43,70.91
68.31,2.76,85.06,47.21,72.7,66.83
66.33,6.95,60.73,75.44,37.59,57.9
67.17,5.69,64.6,79.9,77.7,67.36
94.22,3.46,67.63,69.46,98.62,79.42
93.17,1.82,64.68,83.48,55.62,58.73
97.18,5.7,74.56,81.77,68.06,75.13
88.17,6.07,77.77,70.38,32.36,61.34
53.92,5.86,64.94,56.3,81.25,69.55
82.01,6.18,83.38,71.46,58.62,69.25
83.59,1.82,72.96,84.02,79.02,69.91
88.0,3.49,61.86,63.25,67.74,64.72
77.56,5.53,86.63,78.98,63.44,68.48
97.41,5.19,50.87,78.08,78.53,72.99
97.54,7.27,74.49,74.53,49.23,68.48
73.94,7.61,78.15,39.51,81.25,83.28
97.38,6.85,73.6,78.67,72.38,77.96
79.53,3.6,50.1,62.11,96.12,67.85
71.55,3.38,66.17,91.07,84.28,79.49
86.99,6.02,87.15,85.32,79.06,81.44
62.78,3.19,62.08,88.47,57.81,58.08
69.26,5.75,66.85,55.7,97.81,72.93
84.35,4.93,71.73,48.99,57.99,63.39
75.33,5.16,95.39,51.99,84.23,77.66
88.44,4.75,67.95,64.31,73.07,69.8
58.74,3.84,79.76,64.05,68.82,62.59
96.13,4.53,41.34,50.66,76.41,58.21
99.79,3.58,54.42,65.93,30.0,51.46
70.32,1.81,78.61,87.57,68.19,66.59
70.05,6.78,66.25,100.0,60.95,68.38
86.26,3.0,49.67,85.73,62.04,61.7
100.0,6.39,81.24,76.2,73.08,75.93
82.96,5.73,52.04,48.94,62.77,65.21
68.52,5.18,69.93,55.47,79.03,70.51
81.83,4.12,49.48,62.62,57.05,56.64
90.76,6.33,75.22,57.66,81.47,80.88
97.85,3.41,68.51,39.94,67.27,70.94
86.48,3.52,60.19,58.93,66.23,61.17
68.24,3.58,53.51,87.98,76.75,68.37
93.61,4.97,76.02,90.5,76.63,78.18
72.32,2.62,66.95,71.24,77.94,68.17
73.18,3.77,76.55,74.01,82.61,70.29
79.2,2.28,74.33,64.84,43.9,53.32
98.27,3.34,53.6,44.54,81.18,60.2
73.68,2.77,56.59,43.66,72.99,58.03
88.42,3.9,79.61,87.88,61.22,68.74
88.68,4.02,67.27,61.92,63.34,66.01
95.48,4.91,63.52,82.11,46.93,59.97
71.13,7.38,87.13,74.19,96.66,86.27
76.87,4.5,79.7,64.2,89.86,78.19
69.59,6.47,64.18,65.95,70.31,67.09
51.1,2.52,63.16,60.01,57.65,46.64
51.16,4.34,85.02,85.26,70.24,62.36
99.5,4.81,74.16,83.92,59.48,70.04
73.59,2.18,66.37,62.26,78.94,69.72
75.52,8.94,43.45,63.67,50.93,58.13
79.01,4.17,72.26,66.23,85.97,70.62
86.06,4.39,74.38,81.58,56.63,67.67
89.27,4.27,90.36,81.56,78.81,80.57
85.36,6.03,65.66,100.0,81.51,76.69
70.76,3.5,72.15,70.19,57.87,60.79
67.34,1.89,71.28,86.56,56.58,57.11
68.21,4.47,68.46,59.28,86.91,66.87
66.35,7.13,70.98,80.44,59.35,70.9
64.87,6.62,45.65,90.48,83.56,67.93
73.38,4.91,71.23,100.0,72.6,70.87
75.19,4.47,53.36,70.79,100.0,72.52
91.71,6.11,78.52,61.53,89.95,82.38
71.26,2.25,56.95,81.81,75.87,65.15
75.4,6.49,55.81,96.27,86.55,73.32
68.74,5.52,56.7,76.26,80.28,63.22
86.57,5.73,67.29,67.57,74.1,74.37
72.58,5.71,65.7,94.26,89.81,74.44
74.85,3.31,74.34,89.28,55.11,66.5
78.34,3.7,84.93,67.8,75.34,73.77
68.23,5.52,66.94,79.73,70.71,68.92
83.69,2.75,82.18,67.51,85.45,76.69
61.89,0.5,77.21,60.51,63.93,55.98
70.1,2.7,84.15,52.88,71.41,71.71
71.75,5.03,65.76,83.14,72.7,69.48
72.16,3.4,35.2,81.42,51.79,47.96
86.41,4.94,78.8,68.15,67.31,72.6
74.92,6.31,53.75,78.44,83.53,68.77
93.26,5.04,78.77,86.87,57.53,70.45
75.91,8.94,56.56,67.32,70.92,69.51
73.69,5.12,83.84,85.28,55.89,70.69
70.53,2.54,69.32,100.0,68.32,64.22
100.0,6.07,85.58,51.51,47.71,65.22
69.77,8.2,52.5,57.63,68.72,65.27
95.85,4.66,76.76,64.54,64.64,72.06
96.03,4.78,61.16,71.23,85.85,74.21
60.7,2.83,49.08,87.98,74.71,57.44
88.87,1.3,70.87,67.98,53.29,62.72
78.24,6.45,60.11,74.33,55.42,64.96
71.3,6.02,62.82,96.21,66.23,66.33
71.65,3.88,61.55,50.13,62.42,59.22
77.42,2.62,64.64,64.65,57.11,60.19
82.57,3.14,87.52,77.4,85.13,79.59
91.07,6.35,63.44,81.33,83.6,70.98
69.1,6.29,65.44,62.39,59.65,64.24
96.41,5.14,71.25,72.23,97.65,82.99
82.79,1.21,65.39,59.27,48.1,54.93
83.63,4.84,67.48,77.71,79.64,72.31
82.57,5.79,54.29,81.65,42.43,60.09
81.89,4.52,87.15,62.14,75.54,70.54
70.68,2.12,55.71,88.0,61.79,54.84
68.5,6.02,40.71,73.43,62.15,56.74
93.77,1.89,61.79,67.68,58.24,58.94
70.26,3.93,37.7,78.52,70.08,62.42
83.31,6.21,70.04,54.62,83.12,67.12
70.98,7.95,95.24,77.66,56.58,75.23
80.04,4.41,59.1,50.93,89.85,71.08
52.67,3.94,49.45,61.14,64.78,53.69
69.14,1.71,62.33,94.15,74.41,61.7
69.74,2.77,95.26,55.41,69.16,66.27
100.0,4.2,96.21,77.91,76.3,77.48
71.85,2.59,85.95,62.41,50.61,64.27
76.97,5.37,74.74,99.27,66.88,73.73
65.65,4.84,86.49,63.09,78.61,77.66
82.77,4.17,87.67,39.58,63.15,66.13
93.12,5.96,82.54,69.66,66.53,76.77
82.16,7.3,75.6,57.28,52.82,70.01
100.0,6.82,52.68,58.88,70.51,69.42
78.86,6.54,77.04,71.13,30.0,56.42
85.41,4.57,96.39,80.55,82.82,79.14
80.08,6.88,71.28,66.62,61.49,68.89
69.46,4.96,92.66,66.87,67.7,73.2
75.98,4.44,55.16,59.12,84.48,70.37
55.84,3.07,83.86,71.34,45.95,57.07
84.36,4.79,67.37,90.67,68.67,68.6
63.48,4.79,70.27,75.52,70.84,64.88
70.93,5.97,85.2,70.03,77.88,72.09
63.15,5.19,57.54,75.99,99.97,72.98
79.66,7.58,69.75,87.51,58.01,69.1
84.55,2.43,33.27,66.75,78.85,62.41
75.86,6.41,91.99,59.53,55.67,71.5
87.23,5.85,56.24,74.63,56.03,60.08
69.5,3.14,64.7,67.33,48.09,52.4
80.28,3.41,65.47,60.23,75.23,64.16
78.31,6.25,51.27,50.76,52.63,60.78
81.03,3.27,70.09,100.0,72.2,68.5
83.26,4.84,69.3,71.99,63.99,67.24
78.64,3.1,30.0,62.06,82.51,59.9
70.81,7.6,82.6,59.82,42.68,66.9
75.03,7.09,59.01,72.58,69.93,70.66
60.47,7.4,72.97,35.0,80.06,68.89
82.33,5.95,42.47,54.77,76.14,66.57
82.19,5.03,58.64,73.95,52.23,59.0
94.18,6.72,67.29,74.99,82.32,82.7
60.81,3.31,100.0,56.05,72.78,69.08
60.0,3.56,91.84,64.89,62.29,65.08
76.19,3.26,87.72,67.15,71.33,70.89
85.27,6.84,66.46,61.78,98.62,77.78
59.05,6.68,61.1,85.53,82.65,70.4
82.56,5.72,77.72,48.67,68.44,70.21
53.7,4.77,60.29,87.16,58.97,66.01
94.09,3.74,100.0,41.22,46.66,69.36
65.47,4.59,68.09,77.85,69.69,68.44
63.4,6.21,74.3,82.06,100.0,80.44
93.56,5.76,70.9,76.29,65.6,67.53
87.95,2.29,50.24,57.47,54.58,51.76
85.65,5.88,78.0,88.45,60.6,75.64
71.06,5.58,69.63,51.11,75.97,65.01
73.16,3.87,66.45,81.03,77.22,68.52
80.28,4.94,68.99,82.16,62.56,67.24
73.56,6.84,72.89,45.94,74.74,70.93
88.81,2.57,86.57,87.15,66.43,73.05
52.2,5.15,88.83,75.5,53.77,63.58
78.83,3.16,63.54,71.4,70.08,66.79
89.38,7.45,65.81,81.59,76.29,68.99
59.89,6.67,63.27,57.34,66.82,68.34
83.4,7.29,65.64,60.9,72.62,69.7
56.33,7.43,45.46,72.01,65.13,58.36
59.55,4.55,73.72,64.01,52.17,57.98
70.31,6.51,74.07,59.42,78.09,74.64
68.25,6.79,30.42,60.84,88.85,64.05
100.0,3.52,76.61,59.11,77.29,71.19
64.75,5.16,55.13,70.41,64.08,56.68
